,0
213,Community Health Centre at AKUH temporarily closes screening and testing Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
214,"“Know the facts and don’t make false assumptions,” a four-minute video titled Karo Na Awareness has generated over 57,000 views within a few hours on YouTube. https://www.dawn.com/news/1542602/ #EhtiyatCorona #coronavirus "
215,The government has exempted import of 61 diagnostic support and personal protective equipment from all duties and taxes for a period of three months in order to reduce the rising prices in the domestic market. https://www.dawn.com/live-blog/ #coronavirus 
216,"Prime Minister Imran Khan has called on the international community to remove sanctions on Iran, enabling the neighbouring country to better deal with the novel #coronavirus crisis. https://www.dawn.com/live-blog/"
217,Karachi's Expo Centre has been turned into a field hospital Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
218,#Balochistan's COVID-19 tally rises to 92 with 11 new cases Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
219,'Hope' as Wuhan reports no new cases for first time since outbreak Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
220,5 shopkeepers arrested in #Karachi for opening shops despite govt order Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
221,51 of Karachi's cases due to local transmission Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
222,"11 new cases emerge in #Karachi, taking Sindh's total to 249 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
223,#Sindh CM hints at province-wide lockdown for 3 days Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
224,"'Panic is more dangerous than corona,' says PM Imran Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
225,PM Imran calls for sanctions on #Iran to be lifted Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
226,"In a notification issued, the CII has called on people to give alms to daily wage workers and labourers, adding that it is better to distribute alms as soon as possible. https://www.dawn.com/live-blog/ #coronavirus "
227,16 more cases reported in Punjab Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
228,"Mosques in Sri Lanka were shut indefinitely from Friday, and the island is set to impose a countrywide curfew over the weekend, as South Asian countries step up efforts to check the spread of COVID-19 cases. https://www.dawn.com/live-blog/ #coronavirus "
229,"Citizens urged to distribute zakat, not wait for Ramazan Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
230,"According to The Intercept, the biggest healthcare companies stand to gain billions of dollars in emergency spending on the pandemic, as do banks and investors who invest in them. https://www.dawn.com/live-blog/ #coronavirus "
231,"Users can send a text at +41 798 931 892 to get updated information about latest numbers, mythbusters, protective measures and answers to coronavirus-related questions. https://www.dawn.com/live-blog/ #coronavirus "
232,"President Alvi performs Jummah at home, asks nation to do the same Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
233,Sri Lanka to impose national curfew as South Asia accelerates coronavirus battle Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
234,Sindh Health Department looking to hire more doctors to fight COVID-19 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
235,Investors and banks pressure pharmaceutical companies to raise drug prices Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
236,"Chloroquine is a synthetic form of quinine, which has been used to treat malaria since the 1940s. The drug has recently been used to treat #coronavirus patients in China and in France, where some researchers said it showed great promise. https://www.dawn.com/live-blog/"
237,"In a rare gesture, Pakistan Peoples Party (PPP) chairman Bila­wal Bhu­tto-Zardari on Thursday announced a “no criticism policy” against Prime Minis­ter Imran Khan and his government over its response to the #coronavirus pandemic. https://www.dawn.com/news/1542313/"
238,The spokesperson for Makkah's Grand Mosque and the Prophet's Mosque has said that prayers have been suspended in the outer squares of both mosques as a precautionary measure to stop the spread of #coronavirus https://www.dawn.com/live-blog/
239,"Sindh government's spokesperson, Murtaza Wahab, says availability of kits was not an issue nor was there a dearth of resources. ""We have limited testing capacity. There are just not enough microbiologists to screen an entire population of Sindh,"" he says. #Coronavirus "
240,Executives from the pharmaceutical industry have said that they expect it will take 12 to 18 months to roll out a #coronavirus vaccine. https://www.dawn.com/live-blog/
241,"Australian cricket great Shane Warne has halted production of gin at a distillery he co-owns to make medical-grade hand sanitiser for hospitals in these ""challenging times"". https://www.dawn.com/live-blog/ #CoronaVirus "
242,Prime Minister Imran Khan has decided to form a joint parliamentary committee of treasury and opposition members to seek opposition’s support in the fight against novel #coronavirus. https://www.dawn.com/live-blog/
243,"Sindh health minister Dr Azra Fazal Pechuho has confirmed the death of a 77-year-old #coronavirus patient in Sindh. The patient, a resident of Karachi, was a cancer survivor and had diabetes and hypertension with no travel or contact history. https://www.dawn.com/live-blog/"
244,"Saudi Arabia suspends domestic flights, buses and trains Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
245,First death reported from Sindh Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
246,Pakistan asks India to lift blockade of valley to curb spread of coronavirus Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
247,'Complete chaos': how #Karachi's healthcare workers are struggling with COVID-19 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
248,'We are not prepared for this type of public health emergency' Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
249,Balochistan's coronavirus tally rises to 81 with 5 new cases Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
250,"Instructions have been issued to police to ensure that 4 or more people don't travel in vehicles or gather outside ""unnecessarily and without any convincing reason"": Sindh IG Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
251,#Sindh police to crack down on assemblies of 4 or more people from tomorrow Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
252,"#Pakistan's COVID-19 tally rises to 448 as Sindh, Balochistan report sharp spikes Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
253,BREAKING: #Balochistan reports 31 new COVID-19 cases; total at 76 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
254,"BREAKING: 28 new cases emerge in #Karachi, taking Sindh's total to 245 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
255,Prince Albert of Monaco tests positive for coronavirus Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
256,Locally transmitted coronavirus cases in #Sindh rise to 40 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
257,"Pakistan Army scientists manufacturing face masks, sanitisers: ISPR chief Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
258,Armed forces deploying all resources to help govt control COVID-19: DG ISPR Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
259,Don't spread information about COVID-19 without verification: Mirza Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
260,Government of #Pakistan launches online portal for coronavirus Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
261,"45 new COVID-19 cases confirmed in #Punjab, tally rises to 78 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
262,"KPK authorities have revised the figure of #coronavirus cases detected in the province today, citing ""earlier miscommunication"". KP relief department spokesperson Latifur Rehman had earlier in the day said 15 new cases of COVID-19 were confirmed in the province today. "
263,The federal government has ordered the sealing of the Wagah border for an initial period of two weeks as a precautionary measure to control the spread of #coronavirus. https://www.dawn.com/live-blog/
264,"Despite section 144, large number of supporters gather to greet PML-N's Saad Rafique upon release from jail in Lahore Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
265,"The Pakistan Cricket Board (PCB) has confirmed that none of the 128 COVID-19 tests conducted on the Pakistan Super League (PSL) 2020 players, support staff, match officials, broadcasters and team owners on March 17 came back positive. https://www.dawn.com/live-blog/ #coronavirus "
266,"The Sindh government has decided to convert the Karachi Expo Centre into a 10,000-bed hospital. The decision was made during a meeting of the provincial task force on #coronavirus https://www.dawn.com/live-blog/?"
267,"Another #coronavirus patient in Karachi has recovered, bringing the total number of recovered patients in the province to three. https://www.dawn.com/live-blog/"
268,"In a dramatic development that underscores just how much the #coronavirus outbreak has pivoted toward Europe and the United States, Chinese authorities said on Thursday that the city and its surrounding province had no new cases to report. https://www.dawn.com/news/1542146/"
269,Government suspends training program for intending Hajj pilgrims Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
270,Punjab bans inter-provincial transport headed to Sindh Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
271,"Sindh govt decides to convert Expo Centre into 10,000-bed hospital Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
272,"Beijing was hit by a record 21 imported cases of the #coronavirus as new local transmissions in China fell to zero, putting more pressure on the Chinese capital to screen out infected passengers and isolate suspected cases. https://www.dawn.com/live-blog/"
273,The Asian Develo­pment Bank (ADB) and the World Bank on Wednesday committed to providing $588 million to Pakistan for its emergency response to fight coronavirus and cater to the socioeconomic impact of the pandemic. https://www.dawn.com/news/1542069/ #Coronavirus 
274,"The deceased were identified as Saadat Khan, 50, and Abdul Fatah, 36. Saadat Khan, who belonged to Mardan, had returned from Saudi Arabia after performing Umra. https://www.dawn.com/news/1542070/ #CoronaVirus "
275,Indian officials of the broadcasters team covering the Pakistan Super League 2020 have been denied entry by the Indian immigration authorities at the Attari check-post. https://www.dawn.com/live-blog/ #CoronaVirus 
276,German Chancellor Angela Merkel has said that Germany has not faced a challenge like the new coronavirus outbreak since World War Two and every person in the country must help protect those most vulnerable to illness. https://www.dawn.com/live-blog/ #CoronaVirus 
277,Third coronavirus patient in Karachi recovers Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
278,All 128 coronavirus tests came back negative: PCB Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
279,"3 more coronavirus cases reported in Karachi, taking Sindh's tally to 211 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
280,"The United States has imposed fresh sanctions on Iran, keeping up its economic pressure campaign even as it offered to help Tehran cope with the coronavirus pandemic and called on the Islamic Republic to release detained Americans. https://www.dawn.com/live-blog/? #CoronaVirus "
281,"Beijing hit by record imported coronavirus cases, zero China transmissions Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
282,China Daily says Wuhan's new coronavirus cases could cease by mid-late March Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
283,"Intervention may be necessary to calm world markets, says IMF Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
284,"With 5 new patients, #Punjab's coronavirus tally rises to 33 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
285,GB govt retracts news of first #coronavirus death after confirming it 
286,BREAKING: #KP reports second death from coronavirus in a day Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
287,"Seven new cases of the novel coronavirus have emerged in Balochistan, provincial Chief Secretary retired Capt Fazeel Asghar said. Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
288,7 more people test positive for coronavirus in Balochistan Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
289,"SBP urges banking sector to promote digital payments so people won't have to visit banks, ATMs Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
290,"So far, 289 cases of #coronavirus have been reported in Pakistan; 2 have recovered. This figure was updated on Mar 18 — 8:50pm Follow live updates on the global pandemic on http://dawn.com/ live-blog #DawnToday #CoronoavirusInPakistan"
291,Jibran Nasir tested for COVID-19 after his friend is diagnosed with virus Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
292,Here’s everything you want to know about the precautionary step being promoted by WHO and leaders across the globe. https://www.dawn.com/news/1541380/ #CoronaVirus 
293,BREAKING: #Pakistan records first death from coronavirus Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
294,8 more people in Sukkur test positive for COVID-19 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
295,"wo new coronavirus cases have been reported in KP — one from Buner and one from Hangu, provincial Health Minister Taimur Jhagra confirmed. https://www.dawn.com/live-blog/ #coronavirus "
296,"The rise in deaths comes as the number of infections continues to grow each day, with some 17,361 people infected, according to Iran’s deputy health minister, Alireza Raisi. Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
297,"The highly contagious coronavirus can remain viable and infectious in droplets in the air for hours and on surfaces up to days, according to a new study that should offer guidance to help people avoid contracting the respiratory illness called COVID-19. #coronavirus "
298,"26 confirmed virus cases in Punjab, says health dept Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
299,Senate exempts employees aged above 50 from coming to office Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
300,Sindh government spokesman Murtaza Wahab said the province total of coronavirus patients has reached 181. This means that nine new cases have been confirmed today. https://www.dawn.com/live-blog/ #CoronaVirus 
301,"Foreign Minister Shah Mahmood Qureshi after returning from China said he will self-isolate for five days. ""If we set an example, then people will follow,"" he said. https://www.dawn.com/live-blog/ #CoronaVirus "
302,"Japanese flu drug 'clearly effective' in treating coronavirus, says China Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
303,"All exams, including Cambridge, postponed till June 1, says education minister Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
304,"The Sindh government has announced a number of measures to stop the spread of the novel #coronavirus , urging people to take the precautions seriously. "
305,Sindh minister says one million soaps to be distributed Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
306,"Increased footfall at hospitals, overworked healthcare providers, looming shortage of personal protective equipment (PPE) kits and fake news with little regard for public safety are some of the challenges being faced in Sindh due to #CoronaVirus. https://www.dawn.com/news/1541704/"
307,Scientists warn we may need to live with social distancing for a year or more. Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
308,Study suggests that coronavirus can persist in air for at least three hours. Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
309,"""It is the responsibility of the young that their elderly parents do not get sick because of them; that they do not pass the virus,"" says the country's top infectious disease specialist, Dr Faisal Mahmood. https://www.dawn.com/news/1541711/ #coronavirus "
310,First Indian soldier tests positive for virus as total rises to 147 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
311,"On Tuesday, the Sindh government made a drastic decision under which restaurants, shopping malls, food streets, public parks and government offices, except those for essential services, would remain closed from today for 15 days. https://www.dawn.com/news/1541728/ #coronavirus "
312,"Governor SBP, Dr. Reza Baqir announces three measures to address the economic and health challenges posed by the spread of COVID-19. #CoronaVirus "
313,International passengers directed to provide COVID-19 test results upon arrival Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
314,Imported coronavirus cases in China outpace local infections for fifth day Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
315,"PM Imran Khan tells nation to prepare for a #coronavirus epidemic, rules out lockdown "
316,"38 arrested in Karachi for hoarding sanitisers, face masks and holding gatherings Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
317,"'Ghabrana nahi hai,' urges PM Imran in his address to the nation Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
318,"PM Imran warns hoarders against ""trying to take advantage of public's helplessness"". Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
319,"PM Imran Khan says national shutdown in Pakistan is not possible as ""our situation is not the same as that of the US or Europe"". Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
320,"""This virus is a type of flu and what sets it apart is that it spreads very quickly. But 97 per cent of the people survive,"" Prime Minister Imran Khan says while addressing the nation on the novel coronavirus. Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
321,State Bank announces Rs5 billion refinancing facility to support the purchase of equipment used to fight #coronavirus 
322,New positive coronavirus case in Abbottabad takes KP's tally to 16 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
323,Iran warns millions would be killed from COVID-19 if people ignore govt directions Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
324,"All restaurants, malls, shopping centres will be closed in Sindh from tomorrow Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
325,6 new cases confirmed in Quetta Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
326,Do you have any questions regarding #COVID19? Share with us in replies and we will have a health expert answer them. #coronavirus 
327,"Alex Hales says he's in self-isolation, likely to be tested today Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
328,Sindh's cases rise to 172; country's total rises to 212 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
329,Pakistan's tally rises to 195; death of patient in Lahore not linked to virus Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
330,Alex Hales warns against 'fake news' about him testing positive for COVID-19 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
331,Bilawal appeals to PM Imran to implement CM Sindh's recommendations Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
332,Australia tells overseas citizens to return before it's too late Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
333,"Iran reports 135 new virus deaths, raising total to 988 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
334,Testing labs established at major military hospitals across Pakistan: ISPR Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
335,"""We want to have the minimum number of people coming out of their homes [during this period]."" Punjab Health Minister Yasmin Rashid has confirmed that the number of coronavirus cases in the province has risen to 6. https://www.dawn.com/news/1541626/ #CoronaVirus "
336,FACT CHECK: Punjab has not reported its first virus death Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
337,"Prime Minister Imran Khan on Monday said he feared the new coronavirus would devastate economies of developing nations and warned the developed world economies to ""prepare to write off the debts"" of the world's poorer countries. https://www.dawn.com/news/1541620/ #CoronaVirus "
338,PM Imran to address nation on coronavirus situation Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
339,"Tom Hanks, Rita Wilson released from hospital: reports Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
340,Karachi's Pinch&Co shuts down dine-in; delivery and takeaway services available Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
341,PCB says foreign PSL player suspected to have coronavirus Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
342,Number of coronavirus cases in Punjab rises to 6 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
343,US begins coronavirus vaccine testing Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
344,The International Monetary Fund (IMF) said on Monday it’s ready to use its $1 trillion lending capacity to help countries struggling with the humanitarian and economic impact of the novel coronavirus (COVID-19). https://www.dawn.com/news/1541425/ #CoronaVirus 
345,"The head of the World Health Organisation called on Monday for every suspected coronavirus case to be tested, as countries across Europe tightened their lockdowns and global stock markets tumbled again. https://www.dawn.com/news/1541429/ #CoronaVirus "
346,5 more cases emerge in Sindh; provincial tally rises to 155 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
347,The number of confirmed patients of coronavirus may increase substantially in Punjab as some 780 suspected patients have been kept in quarantine at a university in Dera Ghazi Khan and most of them show typical symptoms of the disease. https://www.dawn.com/news/1541480/ #CoronaVirus 
348,Adviser to KP Chief Minister on Information Ajmal Wazir has said that the government is also considering shutting down all offices for a set amount of time. https://www.dawn.com/live-blog/ #Coronavirus 
349,KP govt gives 15-day paid leave to employees over 50 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
350,No reason to believe cold weather can kill virus: WHO Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
351,"Patients, at least 1 with coronavirus, break out of #Afghan quarantine Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
352,BREAKING: #Sindh reports 47 new coronavirus cases; provincial total rises to 150 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
353,#Sindh govt sets up coronavirus emergency care centre in Sukkur Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
354,11 new coronavirus cases emerge in Sindh: CM Shah Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
355,CM Shah says not every person with COVID-19 will be admitted to a hospital Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
356,Sindh Secretariat prohibits unauthorised visitors from entering building Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
357,France says virus situation 'deteriorating very fast' Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
358,Fact sheet: Number of #coronavirus cases rises in Pakistan 
359,Australian supermarkets start 'elderly hour' to counter panic-buying Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
360,"Punjab prohibits hoarding of sanitisers, public gatherings under Section 144 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
361,"Another coronavirus case reported in Karachi. Overall, 18 new cases have been reported in Sindh today, while total tally stands at 35 in the province. Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
362,Pakistan reports highest single-day jump in coronavirus cases as tally rises to 52. Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
363,"The patients who tested positive for the virus in Sukkur had purportedly been kept in quarantine at the Taftan border, said Sindh govt spokesperson Murtaza Wahab. Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
364,"13 people, who recently arrived in Sukkur from Taftan, have tested positive for the novel coronavirus. The number of confirmed cases in Sindh has jumped to 34. Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
365,First case of coronavirus emerges in Lahore Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
366,"Police raid pharmacy at Dolmen Mall, Clifton, arrest salesman for selling expensive sanitisers Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
367,"Iran reports 113 new virus deaths, raising total to 724 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
368,"Malaysia reported 190 new cases of coronavirus today, most linked to a religious event at a mosque that was attended by more than 10,000 people from several countries. Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
369,Jerusalem's Al-Aqsa mosque shut as precaution against coronavirus Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
370,Coronavirus cases rise to 107 in India Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
371,"In first public statement, PM Imran Khan says he is 'personally overseeing measures' to deal with #coronavirus Follow our live #CoronaVirusUpdates here: http://dawn.com/live-blog/"
372,China reports 11 new virus cases Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
373,"Govt announces ban on wedding ceremonies, closure of cinemas Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
374,Pakistan has 28 confirmed coronavirus cases: Dr Zafar Mirza Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
375,Europe now 'epicentre' of COVID-19 pandemic: WHO Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
376,"Pakistan decides to close western borders, cancel March 23 parade Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
377,Academic institutions across country will remain closed till April 5 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
378,Fact check: Indian news outlets duped by fake Twitter account of Pakistan's health ministry Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
379,Saudi has not directed foreign nationals to return to their countries within 72 hours: embassy Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
380,"2,000 Pakistanis to return from Iran after being qurantined in Taftan for 14 days Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
381,Australian minister who met with Ivanka Trump has coronavirus Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
382,Nasir Hussain Shah promises prize for person who develops coronavirus vaccine Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
383,KP cabinet decides to close educational insitutions for 15 days Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
384,Nepal closes Mount Everest for climbers Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
385,Canadian PM Justin Trudeau's wife Sophie tests positive for coronavirus Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
386,"Matriculation examinations for ninth and 10th grade, which were to start on March 16 have also been ""suspended"". Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
387,Schools in Sindh to remain closed until May 31 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
388,Military's top brass discusses preventive measures against coronavirus Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
389,"5,000-10,000 people could have COVID-19 in UK, says govt official Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
390,"Italian daily coronavirus deaths jump 23pc to 1,016 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
391,Brazilian who met Trump tests positive for COVID-19 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
392,"Turkish primary and secondary schools will be closed for a week from March 16, while universities will be closed for three weeks due to coronavirus. Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
393,Habib University decides to move classes online in light of 'extraordinary' health situation Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
394,PM Imran calls emergency meeting of National Security Committee to discuss coronavirus situation Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
395,"UK coronavirus cases rise 29pc to 590 in a day, total of 10 dead Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
396,"Federal govt not prepared to fight coronavirus threat, complains Sindh CM Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
397,"Sindh govt not hiding information regarding coronavirus, says Murtaza Wahab Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
398,Sindh reiterates demand for quarantine arrangements at airports Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
399,Schools in Balochistan to remain closed till March 31 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
400,"No coronavirus case reported at LUMS, clarifies varsity Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
401,BREAKING: Pakistan reports new coronavirus case in Skardu taking tally to 21 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
402,"A public health emergency should be declared in the country, says Shahbaz Sharif Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
403,Iran seeks $5bn emergency funding from IMF to combat virus Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
404,"No decision about extending schools' closure beyond March 15, for now: Saeed Ghani Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
405,BREAKING: COVID-19 'can be characterised as a pandemic': WHO chief Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
406,THE LATEST: #Pakistani man in #Italy dies of coronavirus Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
407,#Canada announces $1 billion to counter virus impact Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
408,No plans to shut UK parliament despite positive coronavirus test Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
409,"“Right now, the epicenter — the new China — is Europe,” said Robert Redfield, the head of the US Centers for Disease Control and Prevention. Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
410,Bahrain records 77 new coronavirus cases among evacuees from Iran Follow our live updates on #coronavirus here: http://dawn.com/live-blog
411,"New coronavirus case reported in Gilgit-Baltistan, Pakistan's tally rises to 20 Follow our live updates on #coronavirus here: http://dawn.com/live-blog"
412,WATCH: Pakistani family in Hong Kong gives away face masks and sanitary products for free Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
413,Thai immigration officers at Bangkok airport diagnosed with COVID-19 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
414,"China eases curbs as coronavirus infections retreat, imported cases tick up Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
415,The most vulnerable people are health professionals: Dr Zafar Mirza Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
416,Dr Zafar Mirza emphasises importance of hygiene to limit spread of coronavirus Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
417,UK health minister Dorries diagnosed with coronavirus Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
418,"The first patient of coronavirus in Balochistan, and 19th in Pakistan, has recent travel history of #Iran: official Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
419,BREAKING: First coronavirus case of #Balochistan confirmed in 12-year-old boy Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
420,PIA suspends flight operations between Pakistan and Milan Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
421,"Dolmen City administration says mall, offices will remain open after Engro shuts down workplace Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
422,How can you protect your workplace from coronavirus? Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
423,#Sindh CM calls for calm as #coronavirus cases in province rise to 15 
424,Engro Corporation's #Karachi offices to remain closed for 3 days Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
425,Engro employee in #Karachi tests positive for #coronavirus Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
426,"BREAKING: 2 new cases of #coronavirus emerge in Sindh, taking the provincial total to 15 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
427,50 infected with coronavirus from single office in Seoul Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
